File_Name,Session,Emotion,val,act,dom,wav_file_name,Signal_Mean,Signal_StdDeviation,Rms_Vec_Mean,Rms_Vec_StdDeviation,Autocorrelation_Max,Autocorrelation_StdDeviation,Silence,Harmonic_Mean
4-09-4_0-3_0-3_5-Ses04F_script03_2_F015.wav, 4,09,4_0,3_0,3_5,Ses04F_script03_2_F015, -2.6947639e-05, 0.04533749, 8.458644e-07, 0.00019582812, 42515.605, 111225.06, 0.99998134, 0.002832646
2-01-3_0-2_6667-2_6667-Ses02M_impro08_M019.wav, 2,01,3_0,2_6667,2_6667,Ses02M_impro08_M019, -2.6413998e-05, 0.022284357, 3.411294e-07, 8.7187764e-05, 77935.37, 115964.93, 0.9999847, 0.00072510936
4-09-1_5-4_5-4_5-Ses04F_impro04_F009.wav, 4,09,1_5,4_5,4_5,Ses04F_impro04_F009, -2.9799638e-05, 0.03697087, 6.1948475e-07, 0.0001513357, 314615.9, 233710.17, 0.99998325, 0.0032647015
1-09-2_6667-2_6667-3_6667-Ses01F_script01_1_F009.wav, 1,09,2_6667,2_6667,3_6667,Ses01F_script01_1_F009, -2.2525519e-05, 0.014562589, 2.8475313e-07, 6.439451e-05, 1608.2595, 4055.9207, 0.99998045, 0.0027377587
2-04-2_0-2_5-3_5-Ses02M_script02_2_M038.wav, 2,04,2_0,2_5,3_5,Ses02M_script02_2_M038, -2.8967213e-05, 0.0088139735, 9.305274e-08, 2.8638333e-05, 30923.924, 50011.367, 0.99998945, 0.0035766612
4-05-2_0-2_5-4_0-Ses04F_script03_2_M040.wav, 4,05,2_0,2_5,4_0,Ses04F_script03_2_M040, -2.5827841e-05, 0.030755496, 8.3282913e-07, 0.00016004193, 438002.84, 292855.9, 0.99997294, 0.0013559221
3-10-4_0-3_5-2_5-Ses03F_impro07_F026.wav, 3,10,4_0,3_5,2_5,Ses03F_impro07_F026, -2.75971e-05, 0.02507852, 1.921666e-07, 6.942057e-05, 175153.53, 170644.84, 0.9999923, 0.0018778425
5-10-4_5-3_0-3_5-Ses05F_impro03_F042.wav, 5,10,4_5,3_0,3_5,Ses05F_impro03_F042, -2.7623104e-05, 0.03227961, 1.1024819e-06, 0.00018864362, 28482.486, 23655.602, 0.99996585, 0.00077034056
5-09-2_0-2_5-3_5-Ses05F_impro05_F038.wav, 5,09,2_0,2_5,3_5,Ses05F_impro05_F038, -3.1105938e-05, 0.007474773, 2.2482058e-07, 4.0993244e-05, 8658.626, 13741.867, 0.9999699, 0.0041869716
1-03-4_3333-3_0-2_6667-Ses01F_script01_3_F017.wav, 1,03,4_3333,3_0,2_6667,Ses01F_script01_3_F017, -2.7619639e-05, 0.025174575, 7.2507277e-07, 0.00013510307, 259345.52, 239032.6, 0.9999712, 0.002045097
